id,region,category,classification,subclassification,total_number_of_housing_units,total_energy_consumption,energy_consumption_per_household,energy_consumption_per_household_member,energy_consumption_per_square_foot,total_energy_expenditures,energy_expenditure_per_household,energy_expenditure_per_household_member,energy_expenditure_per_square_foot
126,Midwest,Main heating fuel,Electricity,,5.4,261,48.1,21.5,29.5,8.2,1509,674,0.93
127,Midwest,Main heating fuel,Fuel oil/kerosene,,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0
128,Midwest,Main heating fuel,Propane,,1.5,157,102.6,37.1,38.4,4.03,2629,950,0.99
129,South,All homes,,,44.4,3064,68.9,27.3,35.6,85.19,1917,758,0.99
130,South,Census division,South Atlantic,,23.5,1584,67.5,27.0,33.8,46.09,1963,787,0.98
131,South,Census division,East South Central,,7.2,498,69.2,27.5,37.0,13.72,1907,757,1.02
132,South,Census division,West South Central,,13.8,981,71.3,27.6,38.1,25.38,1843,713,0.98
133,South,Census urban/rural classification,Urban,,33.4,2267,67.8,27.2,36.1,61.43,1838,738,0.98
134,South,Census urban/rural classification,Urban,Urbanized area,28.1,1930,68.8,27.2,36.1,52.76,1880,743,0.99
135,South,Census urban/rural classification,Urban,Urban cluster,5.4,336,62.9,27.6,36.3,8.67,1621,711,0.94
136,South,Census urban/rural classification,Rural,,11.0,797,72.3,27.4,34.0,23.76,2155,817,1.01
137,South,Metropolitan or micropolitan statistical area,In metropolitan statistical area,,34.7,2391,68.9,27.1,35.1,66.58,1919,755,0.98
138,South,Metropolitan or micropolitan statistical area,In micropolitan statistical area,,6.3,432,68.6,29.0,36.7,11.62,1845,781,0.99
139,South,Metropolitan or micropolitan statistical area,Not in metropolitan or micropolitan statistical area,,3.4,240,69.9,26.0,38.7,6.99,2030,756,1.13
140,South,Climate region,Very cold/Cold,,-1.0,-1,92.0,42.7,49.7,-1.0,1740,809,0.94
141,South,Climate region,Mixed-humid,,21.3,1636,77.0,29.7,36.1,43.54,2048,791,0.96
142,South,Climate region,Mixed-dry/Hot-dry,,-2.0,-2,-2.0,-2.0,-2.0,-2.0,-2,-2,-2.0
143,South,Climate region,Hot-humid,,22.4,1352,60.5,24.4,34.4,40.22,1799,725,1.02
144,South,Climate region,Marine,,-2.0,-2,-2.0,-2.0,-2.0,-2.0,-2,-2,-2.0
145,South,Housing unit type,Single-family detached,,28.7,2373,82.7,30.8,34.8,63.82,2224,828,0.93
146,South,Housing unit type,Single-family attached,,2.3,129,56.5,23.0,34.3,3.57,1567,638,0.95
147,South,Housing unit type,Apartments in buildings with 2–4 units,,2.4,101,42.1,20.4,42.8,2.86,1187,575,1.21
148,South,Housing unit type,Apartments in buildings with 5 or more units,,7.2,244,34.0,17.0,35.3,7.88,1098,549,1.14
149,South,Housing unit type,Mobile homes,,3.9,216,55.6,20.9,44.5,7.06,1818,683,1.45
150,South,Ownership of housing unit,Owned,,28.5,2295,80.6,31.1,34.8,62.13,2182,841,0.94
151,South,Ownership of housing unit,Owned,Single-family,24.8,2099,84.8,32.3,34.3,55.86,2257,859,0.91
152,South,Ownership of housing unit,Owned,Apartments,0.8,33,39.4,22.7,32.4,0.97,1161,669,0.96
153,South,Ownership of housing unit,Owned,Mobile homes,2.9,163,56.5,21.9,43.9,5.3,1840,713,1.43
154,South,Ownership of housing unit,Rented,,16.0,769,48.1,20.0,38.1,23.06,1444,600,1.14
155,South,Ownership of housing unit,Rented,Single-family,6.2,403,64.8,22.8,37.4,11.53,1854,653,1.07
156,South,Ownership of housing unit,Rented,Apartments,8.7,312,35.7,17.5,37.8,9.77,1117,546,1.18
157,South,Ownership of housing unit,Rented,Mobile homes,1.0,53,53.3,18.4,46.4,1.76,1756,607,1.53
158,South,Year of construction,Before 1950,,3.9,299,76.8,34.1,41.8,7.22,1856,823,1.01
159,South,Year of construction,1950 to 1959,,3.6,259,71.2,29.5,40.1,6.94,1904,789,1.07
160,South,Year of construction,1960 to 1969,,4.5,308,68.8,30.3,36.9,8.03,1795,792,0.96
161,South,Year of construction,1970 to 1979,,7.2,470,65.4,26.6,38.1,13.38,1861,757,1.09
162,South,Year of construction,1980 to 1989,,7.3,473,64.5,27.0,35.0,13.75,1876,786,1.02
163,South,Year of construction,1990 to 1999,,7.7,538,69.7,26.2,34.5,15.18,1967,741,0.97
164,South,Year of construction,2000 to 2009,,8.2,585,71.6,25.4,32.6,16.97,2076,736,0.95
165,South,Year of construction,2010 to 2015,,2.0,132,65.2,22.4,27.1,3.72,1836,632,0.76
166,South,Total square footage,Fewer than 1000,,8.5,340,39.8,19.6,51.5,10.36,1213,598,1.57
167,South,Total square footage,1000 to 1499,,12.2,670,54.8,21.8,44.9,20.13,1647,656,1.35
168,South,Total square footage,1500 to 1999,,8.2,573,69.5,28.2,39.8,16.01,1942,788,1.11
169,South,Total square footage,2000 to 2499,,4.9,391,79.8,27.9,35.7,10.59,2165,757,0.97
170,South,Total square footage,2500 to 2999,,3.3,307,93.7,35.5,34.2,8.0,2439,923,0.89
171,South,Total square footage,3000 or greater,,7.3,783,107.8,36.8,25.8,20.09,2768,943,0.66
172,South,Number of household members,1 member,,10.9,526,48.3,48.3,32.5,14.68,1349,1349,0.91
173,South,Number of household members,2 members,,15.9,1074,67.3,33.7,33.7,30.28,1899,949,0.95
174,South,Number of household members,3 members,,7.5,572,76.8,25.6,37.7,15.73,2111,704,1.04
175,South,Number of household members,4 members,,6.0,526,87.3,21.8,38.0,14.36,2381,595,1.04
176,South,Number of household members,5 members,,2.7,237,87.5,17.5,41.0,6.53,2413,483,1.13
177,South,Number of household members,6 or more members,,1.4,128,90.3,13.5,38.7,3.59,2530,378,1.09
178,South,2015 annual household income,Less than $20000,,9.1,469,51.4,22.9,38.0,13.5,1480,661,1.09
179,South,2015 annual household income,$20000 to $39999,,11.1,651,58.6,25.4,37.4,18.64,1678,725,1.07
180,South,2015 annual household income,$40000 to $59999,,7.7,521,67.7,27.1,37.1,14.46,1881,752,1.03
181,South,2015 annual household income,$60000 to $79999,,5.0,341,68.6,24.8,33.4,9.86,1986,718,0.97
182,South,2015 annual household income,$80000 to $99999,,3.3,256,76.8,29.5,34.5,7.13,2137,821,0.96
183,South,2015 annual household income,$100000 to $119999,,2.6,215,81.3,28.0,33.1,5.88,2224,768,0.9
184,South,2015 annual household income,$120000 to $139999,,1.7,159,92.9,29.8,31.8,4.41,2570,826,0.88
185,South,2015 annual household income,$140000 or more,,3.9,452,116.8,39.1,34.1,11.32,2925,979,0.85
186,South,Payment method for energy bills,All paid by household,,41.8,2953,70.7,27.6,35.4,82.05,1964,767,0.98
187,South,Payment method for energy bills,Some paid by household some included in rent or condo fee,,0.8,37,45.0,23.8,38.4,1.08,1303,689,1.11
188,South,Payment method for energy bills,All included in rent or condo fee,,1.5,56,38.0,19.0,38.0,1.56,1051,525,1.05
189,South,Payment method for energy bills,Some other method,,0.4,17,47.1,21.0,44.8,0.5,1378,615,1.31
190,South,Main heating fuel,Natural gas,,13.7,1318,96.3,37.7,42.0,28.94,2116,827,0.92
191,South,Main heating fuel,Electricity,,24.9,1354,54.5,21.5,31.2,44.65,1796,708,1.03
192,South,Main heating fuel,Fuel oil/kerosene,,0.8,82,99.4,37.0,43.2,2.16,2621,975,1.14
193,South,Main heating fuel,Propane,,1.9,173,93.0,37.0,37.7,4.85,2612,1038,1.06
194,West,All homes,,,26.4,1581,59.9,22.3,33.4,40.06,1518,565,0.85
195,West,Census division,Mountain,,8.5,631,74.1,28.7,36.9,13.94,1638,634,0.82
196,West,Census division,Mountain,Mountain North,4.2,357,84.0,31.4,38.7,6.74,1586,593,0.73
197,West,Census division,Mountain,Mountain South,4.3,274,64.3,25.8,34.9,7.2,1688,678,0.92
198,West,Census division,Pacific,,17.9,949,53.1,19.4,31.5,26.12,1461,534,0.87
199,West,Census urban/rural classification,Urban,,22.8,1317,57.7,21.3,33.0,33.32,1459,539,0.84
200,West,Census urban/rural classification,Urban,Urbanized area,21.4,1213,56.7,21.0,32.5,31.14,1457,540,0.83
201,West,Census urban/rural classification,Urban,Urban cluster,1.5,104,71.4,24.9,41.8,2.19,1497,523,0.88
202,West,Census urban/rural classification,Rural,,3.6,264,74.3,29.1,35.6,6.74,1898,743,0.91
203,West,Metropolitan or micropolitan statistical area,In metropolitan statistical area,,24.1,1403,58.1,21.5,32.8,36.41,1508,559,0.85
204,West,Metropolitan or micropolitan statistical area,In micropolitan statistical area,,1.1,78,68.4,25.7,33.8,1.45,1276,480,0.63
205,West,Metropolitan or micropolitan statistical area,Not in metropolitan or micropolitan statistical area,,1.1,100,90.4,36.6,46.6,2.21,1995,808,1.03
206,West,Climate region,Very cold/Cold,,6.5,528,80.6,30.5,39.6,10.47,1600,605,0.79
207,West,Climate region,Mixed-humid,,-2.0,-2,-2.0,-2.0,-2.0,-2.0,-2,-2,-2.0
208,West,Climate region,Mixed-dry/Hot-dry,,12.7,660,51.8,19.3,31.1,18.89,1484,552,0.89
209,West,Climate region,Hot-humid,,0.4,11,24.1,11.4,25.0,0.84,1883,889,1.95
210,West,Climate region,Marine,,6.7,382,57.3,20.8,31.1,9.86,1479,536,0.8
211,West,Housing unit type,Single-family detached,,16.2,1213,74.8,26.2,32.6,29.78,1837,644,0.8
212,West,Housing unit type,Single-family attached,,1.6,78,49.3,18.6,33.0,1.97,1240,466,0.83
213,West,Housing unit type,Apartments in buildings with 2–4 units,,1.9,70,37.6,13.9,41.3,1.81,972,358,1.07
214,West,Housing unit type,Apartments in buildings with 5 or more units,,5.3,141,26.6,12.2,32.2,4.4,831,380,1.0
215,West,Housing unit type,Mobile homes,,1.4,78,54.6,20.6,48.4,2.11,1471,555,1.3
216,West,Ownership of housing unit,Owned,,15.4,1108,72.0,27.0,32.0,27.54,1790,671,0.79
217,West,Ownership of housing unit,Owned,Single-family,13.9,1041,75.0,27.5,31.5,25.4,1829,671,0.77
218,West,Ownership of housing unit,Owned,Apartments,0.6,16,28.8,16.7,27.7,0.78,1358,786,1.31
219,West,Ownership of housing unit,Owned,Mobile homes,0.9,50,54.3,22.8,47.1,1.37,1474,620,1.28
220,West,Ownership of housing unit,Rented,,11.0,473,43.0,15.8,37.5,12.52,1138,419,0.99
221,West,Ownership of housing unit,Rented,Single-family,3.9,250,64.0,19.8,38.1,6.35,1623,502,0.97
222,West,Ownership of housing unit,Rented,Apartments,6.6,194,29.5,12.4,35.5,5.43,825,347,0.99
223,West,Ownership of housing unit,Rented,Mobile homes,0.5,28,55.3,17.6,50.8,0.74,1465,466,1.35
224,West,Year of construction,Before 1950,,3.4,211,62.9,24.1,34.1,5.14,1533,586,0.83
225,West,Year of construction,1950 to 1959,,2.8,160,57.9,24.4,37.9,3.86,1394,587,0.91
226,West,Year of construction,1960 to 1969,,2.9,149,51.3,19.3,34.9,3.84,1321,497,0.9
227,West,Year of construction,1970 to 1979,,4.7,257,54.8,19.8,35.4,6.81,1453,524,0.94
228,West,Year of construction,1980 to 1989,,3.9,189,48.5,18.8,32.6,5.1,1307,505,0.88
229,West,Year of construction,1990 to 1999,,3.9,267,68.3,24.2,32.7,6.61,1690,599,0.81
230,West,Year of construction,2000 to 2009,,4.1,295,72.8,25.8,30.4,7.48,1842,653,0.77
231,West,Year of construction,2010 to 2015,,0.8,51,64.0,22.8,31.3,1.22,1532,545,0.75
232,West,Total square footage,Fewer than 1000,,7.4,251,33.8,14.7,46.2,6.93,934,405,1.27
233,West,Total square footage,1000 to 1499,,6.2,329,53.2,19.4,43.3,8.36,1353,493,1.1
234,West,Total square footage,1500 to 1999,,3.9,256,64.9,22.8,37.5,6.5,1645,578,0.95
235,West,Total square footage,2000 to 2499,,3.1,229,73.0,26.4,32.7,5.79,1848,669,0.83
236,West,Total square footage,2500 to 2999,,1.9,162,86.7,32.4,31.7,3.81,2044,764,0.75
237,West,Total square footage,3000 or greater,,3.8,354,92.2,29.6,23.1,8.67,2259,725,0.57
238,West,Number of household members,1 member,,5.5,251,45.7,45.7,33.0,6.06,1102,1102,0.8
239,West,Number of household members,2 members,,9.7,567,58.5,29.2,32.2,14.77,1524,762,0.84
240,West,Number of household members,3 members,,4.3,255,58.9,19.6,32.2,6.37,1469,490,0.8
241,West,Number of household members,4 members,,3.6,244,68.1,17.0,34.4,6.37,1779,445,0.9
242,West,Number of household members,5 members,,1.8,134,76.1,15.2,37.1,3.37,1911,382,0.93
243,West,Number of household members,6 or more members,,1.5,129,85.4,13.1,37.8,3.12,2059,316,0.91
244,West,2015 annual household income,Less than $20000,,5.0,222,44.9,19.0,39.2,5.73,1157,490,1.01
245,West,2015 annual household income,$20000 to $39999,,5.3,295,55.5,21.1,35.3,6.84,1290,490,0.82
246,West,2015 annual household income,$40000 to $59999,,3.6,201,55.6,21.5,33.5,4.95,1370,530,0.83
247,West,2015 annual household income,$60000 to $79999,,3.5,229,65.4,23.9,34.9,5.55,1589,582,0.85
248,West,2015 annual household income,$80000 to $99999,,2.4,158,66.4,24.3,34.0,3.9,1634,599,0.84
249,West,2015 annual household income,$100000 to $119999,,2.3,156,67.7,22.8,28.8,4.06,1765,595,0.75
250,West,2015 annual household income,$120000 to $139999,,1.2,95,75.8,25.3,30.9,2.41,1932,646,0.79
251,West,2015 annual household income,$140000 or more,,3.1,225,73.1,24.3,29.6,6.61,2144,714,0.87
252,West,Payment method for energy bills,All paid by household,,23.7,1482,62.4,22.8,33.1,37.05,1561,571,0.83
253,West,Payment method for energy bills,Some paid by household some included in rent or condo fee,,1.1,35,32.8,13.6,35.8,0.96,905,374,0.99
254,West,Payment method for energy bills,All included in rent or condo fee,,1.4,54,38.5,18.7,40.6,1.83,1291,627,1.36
255,West,Payment method for energy bills,Some other method,,0.2,10,57.1,19.5,43.5,0.22,1331,456,1.01
256,West,Main heating fuel,Natural gas,,13.9,1010,72.7,26.7,36.5,22.6,1627,598,0.82
257,West,Main heating fuel,Electricity,,7.8,361,46.0,17.7,29.3,10.61,1352,521,0.86
258,West,Main heating fuel,Fuel oil/kerosene,,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0
259,West,Main heating fuel,Propane,,0.8,54,71.3,32.9,32.6,1.73,2303,1064,1.05
